City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (deg C)
35,pozo del molle,-32.0186,-62.9198,293.33,49,98,2.28,AR,1728598274,20.079999999999984
36,ancud,-41.8697,-73.8203,281.72,87,100,2.66,CL,1728598338,8.470000000000027
37,wynyard,-41.0,145.7167,285.05,88,57,1.34,AU,1728598339,11.800000000000011
38,avarua,-21.2078,-159.775,298.18,69,40,7.2,CK,1728598340,24.930000000000007
39,thames,-37.1333,175.5333,284.1,90,98,2.06,NZ,1728598341,10.850000000000023
40,port saint john's,-31.6229,29.5448,294.08,83,70,7.77,ZA,1728598343,20.829999999999984
41,newnham,-41.3833,147.1333,284.68,66,20,6.69,AU,1728598344,11.430000000000007
42,tsiombe,-25.3,45.4833,295.07,74,4,3.61,MG,1728598345,21.819999999999993
43,tolanaro,-25.0319,46.9987,294.19,80,0,6.23,MG,1728598347,20.939999999999998
44,arraial do cabo,-22.9661,-42.0278,294.39,91,100,10.54,BR,1728598348,21.139999999999986
45,laguna,38.421,-121.4238,302.72,43,0,2.57,US,1728598349,29.470000000000027
46,yeppoon,-23.1333,150.7333,294.54,80,82,7.2,AU,1728598350,21.29000000000002
48,west island,-12.1568,96.8225,299.14,83,75,7.2,CC,1728598352,25.889999999999986
49,taltal,-25.4,-70.4833,289.77,75,0,2.73,CL,1728598220,16.519999999999982
